账户(出资实体),交易日期,债券代码ISIN,债券名称,票息,交易方向,数量,交易货币,价格(净价),价格(全价),交易成本(净价),交易成本(全价)
A,2017/6/7,IL0062905489 CORP,TEVA18可转债,7.00,买入," 6,681 ",美元(USD), 523.85 , 523.85 ," 3,499,841.85 "," 3,499,841.85 "
A,2017/6/8,IL0062905489 CORP,TEVA18可转债,7.00,买入, 350 ,美元(USD), 524.00 , 524.00 ," 183,400.00 "," 183,400.00 "
C,2017/6/8,XS1611011922 CORP,鹏博士2020债,0.00,买入," 1,000,000 ",美元(USD), 101.49 , 101.64 ," 1,014,900.00 "," 1,016,443.06 "
A,2017/6/9,IL0062905489 CORP,TEVA18可转债,7.00,买入," 9,200 ",美元(USD), 536.65 , 536.65 ," 4,937,180.00 "," 4,937,180.00 "
C,2017/6/30,XS1611011922 CORP,鹏博士2020债,0.00,买入," 500,000 ",美元(USD), 100.20 , 100.68 ," 501,000.00 "," 503,384.72 "
C,2017/6/30,XS1611011922 CORP,鹏博士2020债,0.00,买入," 500,000 ",美元(USD), 100.20 , 100.68 ," 501,000.00 "," 503,384.72 "
C,2017/6/30,XS1611011922 CORP,鹏博士2020债,0.00,买入," 1,000,000 ",美元(USD), 100.25 , 100.73 ," 1,002,500.00 "," 1,007,269.44 "
A,2017/11/15,XS1611011922 CORP,鹏博士2020债,5.05,买入," 2,000,000 ",美元(USD), 100.75 , 103.08 ," 2,015,000.00 "," 2,061,572.22 "
A,2017/11/15,XS1611011922 CORP,鹏博士2020债,5.05,买入," 4,100,000 ",美元(USD), 100.88 , 103.20 ," 4,135,875.00 "," 4,231,348.06 "
A,2017/11/29,US01609WAQ50 CORP,阿里巴巴24债,3.60,买入," 5,000,000 ",美元(USD), 102.47 , 102.50 ," 5,123,600.00 "," 5,125,100.00 "
A,2017/11/29,US01609WAQ50 CORP,阿里巴巴24债,3.60,买入," 5,000,000 ",美元(USD), 102.47 , 102.50 ," 5,123,600.00 "," 5,125,100.00 "
A,2017/12/11,XS1611011922 CORP,鹏博士2020债,5.05,买入," 1,200,000 ",美元(USD), 100.75 , 100.92 ," 1,209,000.00 "," 1,211,020.00 "
A,2017/12/13,XS1611011922 CORP,鹏博士2020债,5.05,买入," 350,000 ",美元(USD), 100.60 , 100.80 ," 352,100.00 "," 352,787.36 "
A,2018/1/3,XS1611011922 CORP,鹏博士2020债,5.05,买入," 5,000,000 ",美元(USD), 100.70 , 101.18 ," 5,035,000.00 "," 5,058,847.22 "
A,2018/1/9,US01609WAQ50 CORP,阿里巴巴24债,3.60,买入," 8,000,000 ",美元(USD), 102.93 , 103.36 ," 8,234,720.00 "," 8,269,120.00 "
A,2018/1/9,US01609WAQ50 CORP,阿里巴巴24债,3.60,买入," 5,000,000 ",美元(USD), 102.93 , 103.36 ," 5,146,700.00 "," 5,168,200.00 "
A,2018/1/11,US01609WAQ50 CORP,阿里巴巴24债,3.60,买入," 5,000,000 ",美元(USD), 102.66 , 103.14 ," 5,133,200.00 "," 5,157,200.00 "
A,2018/1/12,US01609WAQ50 CORP,阿里巴巴24债,3.60,买入," 5,000,000 ",美元(USD), 102.64 , 103.13 ," 5,132,000.00 "," 5,156,500.00 "
A,2018/1/18,US01609WAQ50 CORP,阿里巴巴24债,3.60,买入," 7,000,000 ",美元(USD), 102.09 , 102.63 ," 7,146,510.00 "," 7,184,310.00 "
A,2018/1/31,XS1611011922 CORP,鹏博士2020债,5.05,买入," 3,000,000 ",美元(USD), 100.18 , 101.04 ," 3,005,400.00 "," 3,031,070.83 "
A,2018/2/2,XS1611011922 CORP,鹏博士2020债,5.05,买入," 2,000,000 ",美元(USD), 99.88 , 100.79 ," 1,997,500.00 "," 2,015,736.11 "
C,2018/2/7,US01609WAQ50 CORP,阿里巴巴24债,0.00,卖出," (5,000,000)",美元(USD), 100.87 , 101.60 ," (5,043,250.00)"," (5,080,250.00)"
A,2018/2/7,US01609WAQ50 CORP,阿里巴巴24债,3.60,买入," 1,300,000 ",美元(USD), 100.95 , 101.66 ," 1,312,350.00 "," 1,321,580.00 "
A,2018/2/7,US01609WAQ50 CORP,阿里巴巴24债,3.60,买入," 3,000,000 ",美元(USD), 101.37 , 102.08 ," 3,040,980.00 "," 3,062,280.00 "
C,2018/2/8,US01609WAQ50 CORP,阿里巴巴24债,0.00,卖出," (5,000,000)",美元(USD), 100.76 , 101.51 ," (5,037,950.00)"," (5,075,450.00)"
A,2018/2/8,US01609WAQ50 CORP,阿里巴巴24债,3.60,买入," 4,000,000 ",美元(USD), 100.87 , 101.61 ," 4,034,800.00 "," 4,064,400.00 "
C,2018/2/9,US01609WAQ50 CORP,阿里巴巴24债,0.00,卖出," (3,000,000)",美元(USD), 100.70 , 101.46 ," (3,020,850.00)"," (3,043,650.00)"
C,2018/2/9,US01609WAQ50 CORP,阿里巴巴24债,0.00,卖出," (2,000,000)",美元(USD), 100.70 , 101.46 ," (2,013,900.00)"," (2,029,100.00)"
A,2018/2/9,US01609WAQ50 CORP,阿里巴巴24债,3.60,买入," 3,000,000 ",美元(USD), 100.58 , 101.33 ," 3,017,370.00 "," 3,039,870.00 "
A,2018/2/12,US01609WAQ50 CORP,阿里巴巴24债,3.60,买入," 5,000,000 ",美元(USD), 100.29 , 101.05 ," 5,014,400.00 "," 5,052,400.00 "
C,2018/2/12,XS1611011922 CORP,鹏博士2020债,0.00,卖出," (2,000,000)",美元(USD), 97.61 , 98.72 ," (1,952,250.00)"," (1,974,413.89)"
A,2018/2/12,XS1611011922 CORP,鹏博士2020债,5.05,买入," 2,000,000 ",美元(USD), 97.64 , 98.75 ," 1,952,760.00 "," 1,974,923.89 "
A,2018/2/13,US01609WAQ50 CORP,阿里巴巴24债,3.60,买入," 5,000,000 ",美元(USD), 100.40 , 101.17 ," 5,020,000.00 "," 5,058,500.00 "
A,2018/2/14,US01609WAQ50 CORP,阿里巴巴24债,3.60,买入," 2,800,000 ",美元(USD), 99.82 , 100.60 ," 2,794,876.00 "," 2,816,716.00 "
